Node,X,Y,Z,Type,Hemisphere,Region,Super_Region
1,34.0725299829,79.3318103941,31.2769845802,cortical,right,lateralorbitofrontal,frontal
2,25.6946308725,83.3473154362,33.2231543624,cortical,right,parsorbitalis,frontal
3,40.5288461538,94.5,35.2083333333,cortical,right,frontalpole,frontal
4,41.6103321033,82.4258302583,31.5402214022,cortical,right,medialorbitofrontal,frontal
5,21.9212867899,79.2737850787,39.4113620808,cortical,right,parstriangularis,frontal
6,21.295562599,70.1648177496,42.3898573693,cortical,right,parsopercularis,frontal
7,29.0504939627,83.5528723015,46.501280644,cortical,right,rostralmiddlefrontal,frontal
8,39.4727737665,75.2602286402,55.8203971119,cortical,right,superiorfrontal,frontal
9,29.2359800111,67.0111049417,56.9611327041,cortical,right,caudalmiddlefrontal,frontal
10,26.5733613249,59.077676697,54.4413342664,cortical,right,precentral,frontal
11,41.9099378882,49.2826086957,60.2647515528,cortical,right,paracentral,parietal
12,41.2079831933,77.8214285714,39.6638655462,cortical,right,rostralanteriorcingulate,limbic
13,42.3602251407,68.7279549719,48.0243902439,cortical,right,caudalanteriorcingulate,limbic
14,41.848074922,50.7939646202,49.657648283,cortical,right,posteriorcingulate,limbic
15,41.467230444,42.6152219873,40.8646934461,cortical,right,isthmuscingulate,limbic
16,26.5094859241,51.9492044064,56.0593635251,cortical,right,postcentral,parietal
17,20.6539448364,47.4288005131,50.491340603,cortical,right,supramarginal,parietal
18,35.7320477036,32.1641715301,56.4750063436,cortical,right,superiorparietal,parietal
19,25.1189776069,34.1268943678,48.6410314409,cortical,right,inferiorparietal,parietal
20,39.8883704235,35.0326633166,49.9170854271,cortical,right,precuneus,parietal
21,41.2981595092,26.7165644172,41.9141104294,cortical,right,cuneus,occipital
22,40.1045016077,27.7138263666,36.4324758842,cortical,right,pericalcarine,occipital
23,31.0952380952,22.7735904178,35.8472100497,cortical,right,lateraloccipital,occipital
24,38.9358744395,30.2542600897,30.2834080717,cortical,right,lingual,occipital
25,28.6617231638,40.0427259887,26.0342514124,cortical,right,fusiform,temporal
26,33.3113772455,48.876247505,26.0239520958,cortical,right,parahippocampal,temporal
27,33.6826484018,61.3150684932,18.4383561644,cortical,right,entorhinal,temporal
28,31.6778741866,72.7537960954,20.9338394794,cortical,right,temporalpole,temporal
29,21.8696830127,48.3175291249,23.4727716066,cortical,right,inferiortemporal,temporal
30,17.6802498513,53.255502677,28.0276621059,cortical,right,middletemporal,temporal
31,20.3338414634,47.1661585366,35.2286585366,cortical,right,bankssts,temporal
32,19.5777899945,61.8419461242,32.0717427158,cortical,right,superiortemporal,temporal
33,21.8997214485,55.8245125348,36.7994428969,cortical,right,transversetemporal,temporal
34,28.0417149479,63.9553881808,35.6570104287,cortical,right,insula,limbic
35,39.72436751,54.1664447403,37.7210386152,subcortical,right,Right-Thalamus-Proper,basal_ganglia
36,38.86863711,64.775862069,41.6658456486,subcortical,right,Right-Caudate,basal_ganglia
37,33.0490045942,62.9035222052,36.415007657,subcortical,right,Right-Putamen,basal_ganglia
38,36.8876080692,61.6570605187,35.1037463977,subcortical,right,Right-Pallidum,basal_ganglia
39,42.1433691756,67.1433691756,32.4229390681,subcortical,right,Right-Accumbens-area,basal_ganglia
40,32.6940789474,52.9539473684,28.7384868421,subcortical,right,Right-Hippocampus,limbic
41,34.5485714286,62.98,26.6271428571,subcortical,right,Right-Amygdala,limbic
42,54.6649239544,79.269486692,30.8773764259,cortical,left,lateralorbitofrontal,frontal
43,64.7149253731,83.4552238806,33.3955223881,cortical,left,parsorbitalis,frontal
44,47.5913978495,94.0698924731,39.7634408602,cortical,left,frontalpole,frontal
45,47.3438648053,82.9919177076,32.5503306392,cortical,left,medialorbitofrontal,frontal
46,66.1724137931,78.9561128527,37.8087774295,cortical,left,parstriangularis,frontal
