,lh.lateralorbitofrontal,lh.parsorbitalis,lh.frontalpole,lh.medialorbitofrontal,lh.parstriangularis,lh.parsopercularis,lh.rostralmiddlefrontal,lh.superiorfrontal,lh.caudalmiddlefrontal,lh.precentral,lh.paracentral,lh.rostralanteriorcingulate,lh.caudalanteriorcingulate,lh.posteriorcingulate,lh.isthmuscingulate,lh.postcentral,lh.supramarginal,lh.superiorparietal,lh.inferiorparietal,lh.precuneus,lh.cuneus,lh.pericalcarine,lh.lateraloccipital,lh.lingual,lh.fusiform,lh.parahippocampal,lh.entorhinal,lh.temporalpole,lh.inferiortemporal,lh.middletemporal,lh.bankssts,lh.superiortemporal,lh.transversetemporal,lh.insula,Right-Thalamus-Proper,Right-Caudate,Right-Putamen,Right-Pallidum,Right-Accumbens-area,Right-Hippocampus,Right-Amygdala,rh.lateralorbitofrontal,rh.parsorbitalis,rh.frontalpole,rh.medialorbitofrontal,rh.parstriangularis,rh.parsopercularis,rh.rostralmiddlefrontal,rh.superiorfrontal,rh.caudalmiddlefrontal,rh.precentral,rh.paracentral,rh.rostralanteriorcingulate,rh.caudalanteriorcingulate,rh.posteriorcingulate,rh.isthmuscingulate,rh.postcentral,rh.supramarginal,rh.superiorparietal,rh.inferiorparietal,rh.precuneus,rh.cuneus,rh.pericalcarine,rh.lateraloccipital,rh.lingual,rh.fusiform,rh.parahippocampal,rh.entorhinal,rh.temporalpole,rh.inferiortemporal,rh.middletemporal,rh.bankssts,rh.superiortemporal,rh.transversetemporal,rh.insula,Left-Thalamus-Proper,Left-Caudate,Left-Putamen,Left-Pallidum,Left-Accumbens-area,Left-Hippocampus,Left-Amygdala,Brain-Stem
lh.lateralorbitofrontal,,,,2.0,3.4,,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6666666666666665,5.909090909090909,,2.0,,,
lh.parsorbitalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.frontalpole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lh.medialorbitofrontal,2.0,,,,,,2.4,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.333333333333333,,,,,
lh.parstriangularis,3.4,,,,,2.625,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
lh.parsopercularis,,,,,2.625,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.5,,,,,
lh.rostralmiddlefrontal,2.8,,,2.4,4.0,,,3.75,3.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1666666666666665,5.875,,,,,
lh.superiorfrontal,,,,3.0,,,3.75,,6.5,,,,2.5,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5,3.142857142857143,,,,,
lh.caudalmiddlefrontal,,,,,,,3.0,6.5,,4.5,,,3.25,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,11.0,3.0,,,,
lh.precentral,,,,,,2.0,,,4.5,,3.8181818181818183,,,3.0,,2.8333333333333335,4.0,4.666666666666667,,,,,,,,,,,,,,,,4.166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.166666666666667,4.142857142857143,11.692307692307692,4.2,,,,
