id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med flm)
127;504;rh.caudalmiddlefrontal_11;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;411;22.239342
127;145;rh.caudalmiddlefrontal_11;rh.precentral_19;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;294;18.400002
127;131;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;327;18.400001
127;494;rh.caudalmiddlefrontal_11;rh.insula_10;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;328;17.400008
127;189;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_5;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;217;22.000011
127;505;rh.caudalmiddlefrontal_11;Right-Pallidum;9;38;ctx-rh-caudalmiddlefrontal;Right-Pallidum;264;31.949999
127;503;rh.caudalmiddlefrontal_11;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;406;16.949566
127;146;rh.caudalmiddlefrontal_11;rh.precentral_22;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;248;16.300000
127;493;rh.caudalmiddlefrontal_11;rh.insula_11;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;219;18.700003
71;82;rh.rostralmiddlefrontal_13;rh.superiorfrontal_14;7;8;ctx-rh-rostralmiddlefrontal;ctx-rh-superiorfrontal;267;13.400002
959;1013;lh.bankssts_4;Left-Hippocampus;72;81;ctx-lh-bankssts;Left-Hippocampus;356;31.565182
959;994;lh.bankssts_4;lh.insula_12;72;75;ctx-lh-bankssts;ctx-lh-insula;233;30.050008
358;359;rh.lateraloccipital_7;rh.lateraloccipital_3;23;23;ctx-rh-lateraloccipital;ctx-rh-lateraloccipital;213;12.599980
560;566;lh.rostralmiddlefrontal_13;lh.rostralmiddlefrontal_4;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;267;14.885714
560;631;lh.rostralmiddlefrontal_13;lh.caudalmiddlefrontal_1;48;50;ctx-lh-rostralmiddlefrontal;ctx-lh-caudalmiddlefrontal;224;13.705006
767;1010;lh.superiorparietal_24;Left-Putamen;59;78;ctx-lh-superiorparietal;Left-Putamen;217;47.149994
580;1010;lh.rostralmiddlefrontal_3;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;345;44.074083
580;1009;lh.rostralmiddlefrontal_3;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;227;38.199989
805;815;lh.inferiorparietal_2;lh.inferiorparietal_1;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;221;13.657143
805;816;lh.inferiorparietal_2;lh.inferiorparietal_20;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;215;12.899991
