id node1;id node2;name node1;name node2;parent id node1;parent id node2;parent name node1;parent name node2;edge confidence;edge weight(med nofperflm)
127;504;rh.caudalmiddlefrontal_11;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;411;1.092073
127;145;rh.caudalmiddlefrontal_11;rh.precentral_19;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;294;0.277235
127;131;rh.caudalmiddlefrontal_11;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;327;0.437690
127;494;rh.caudalmiddlefrontal_11;rh.insula_10;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;328;0.344829
127;189;rh.caudalmiddlefrontal_11;rh.caudalanteriorcingulate_5;9;13;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalanteriorcingulate;217;0.130435
127;505;rh.caudalmiddlefrontal_11;Right-Pallidum;9;38;ctx-rh-caudalmiddlefrontal;Right-Pallidum;264;0.093750
127;503;rh.caudalmiddlefrontal_11;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;406;0.546384
127;146;rh.caudalmiddlefrontal_11;rh.precentral_22;9;10;ctx-rh-caudalmiddlefrontal;ctx-rh-precentral;248;0.230043
127;493;rh.caudalmiddlefrontal_11;rh.insula_11;9;34;ctx-rh-caudalmiddlefrontal;ctx-rh-insula;219;0.191489
71;82;rh.rostralmiddlefrontal_13;rh.superiorfrontal_14;7;8;ctx-rh-rostralmiddlefrontal;ctx-rh-superiorfrontal;267;0.243243
959;1013;lh.bankssts_4;Left-Hippocampus;72;81;ctx-lh-bankssts;Left-Hippocampus;356;0.334349
959;994;lh.bankssts_4;lh.insula_12;72;75;ctx-lh-bankssts;ctx-lh-insula;233;0.175439
358;359;rh.lateraloccipital_7;rh.lateraloccipital_3;23;23;ctx-rh-lateraloccipital;ctx-rh-lateraloccipital;213;0.138889
560;566;lh.rostralmiddlefrontal_13;lh.rostralmiddlefrontal_4;48;48;ctx-lh-rostralmiddlefrontal;ctx-lh-rostralmiddlefrontal;267;0.323834
560;631;lh.rostralmiddlefrontal_13;lh.caudalmiddlefrontal_1;48;50;ctx-lh-rostralmiddlefrontal;ctx-lh-caudalmiddlefrontal;224;0.243170
767;1010;lh.superiorparietal_24;Left-Putamen;59;78;ctx-lh-superiorparietal;Left-Putamen;217;0.094142
580;1010;lh.rostralmiddlefrontal_3;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;345;0.218211
580;1009;lh.rostralmiddlefrontal_3;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;227;0.062893
805;815;lh.inferiorparietal_2;lh.inferiorparietal_1;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;221;0.217391
805;816;lh.inferiorparietal_2;lh.inferiorparietal_20;60;60;ctx-lh-inferiorparietal;ctx-lh-inferiorparietal;215;0.169492
512;1010;lh.lateralorbitofrontal_3;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;230;0.126482
194;503;rh.posteriorcingulate_5;Right-Caudate;14;36;ctx-rh-posteriorcingulate;Right-Caudate;363;0.304569
517;580;lh.lateralorbitofrontal_10;lh.rostralmiddlefrontal_3;42;48;ctx-lh-lateralorbitofrontal;ctx-lh-rostralmiddlefrontal;273;0.134003
517;522;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_5;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;269;0.135135
517;578;lh.lateralorbitofrontal_10;lh.rostralmiddlefrontal_7;42;48;ctx-lh-lateralorbitofrontal;ctx-lh-rostralmiddlefrontal;275;0.149254
517;1010;lh.lateralorbitofrontal_10;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;396;0.313538
517;523;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_1;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;283;0.100223
517;521;lh.lateralorbitofrontal_10;lh.lateralorbitofrontal_8;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;332;0.234989
454;507;rh.bankssts_2;Right-Hippocampus;31;40;ctx-rh-bankssts;Right-Hippocampus;317;0.208877
634;1010;lh.caudalmiddlefrontal_3;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;290;0.203967
634;636;lh.caudalmiddlefrontal_3;lh.caudalmiddlefrontal_11;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;227;0.190476
634;637;lh.caudalmiddlefrontal_3;lh.caudalmiddlefrontal_4;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;323;0.426621
634;1009;lh.caudalmiddlefrontal_3;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;230;0.156595
31;503;rh.medialorbitofrontal_4;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;216;0.117303
578;1010;lh.rostralmiddlefrontal_7;Left-Putamen;48;78;ctx-lh-rostralmiddlefrontal;Left-Putamen;336;0.164749
578;1009;lh.rostralmiddlefrontal_7;Left-Caudate;48;77;ctx-lh-rostralmiddlefrontal;Left-Caudate;245;0.062305
695;1010;lh.caudalanteriorcingulate_1;Left-Putamen;54;78;ctx-lh-caudalanteriorcingulate;Left-Putamen;254;0.119207
695;1009;lh.caudalanteriorcingulate_1;Left-Caudate;54;77;ctx-lh-caudalanteriorcingulate;Left-Caudate;367;0.419463
29;504;rh.medialorbitofrontal_8;Right-Putamen;4;37;ctx-rh-medialorbitofrontal;Right-Putamen;275;0.244233
29;503;rh.medialorbitofrontal_8;Right-Caudate;4;36;ctx-rh-medialorbitofrontal;Right-Caudate;354;0.288414
675;744;lh.precentral_28;lh.postcentral_7;51;57;ctx-lh-precentral;ctx-lh-postcentral;241;0.142857
675;738;lh.precentral_28;lh.postcentral_10;51;57;ctx-lh-precentral;ctx-lh-postcentral;256;0.195127
226;504;rh.postcentral_14;Right-Putamen;16;37;ctx-rh-postcentral;Right-Putamen;274;0.114706
58;504;rh.rostralmiddlefrontal_20;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;218;0.143113
58;60;rh.rostralmiddlefrontal_20;rh.rostralmiddlefrontal_18;7;7;ctx-rh-rostralmiddlefrontal;ctx-rh-rostralmiddlefrontal;256;0.189578
153;504;rh.precentral_32;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;301;0.194754
15;504;rh.lateralorbitofrontal_16;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;220;0.142839
76;504;rh.rostralmiddlefrontal_26;Right-Putamen;7;37;ctx-rh-rostralmiddlefrontal;Right-Putamen;239;0.091743
571;590;lh.rostralmiddlefrontal_10;lh.superiorfrontal_35;48;49;ctx-lh-rostralmiddlefrontal;ctx-lh-superiorfrontal;215;0.172414
129;504;rh.caudalmiddlefrontal_1;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;327;0.218579
129;503;rh.caudalmiddlefrontal_1;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;238;0.152672
129;131;rh.caudalmiddlefrontal_1;rh.caudalmiddlefrontal_6;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;343;0.386997
917;1013;lh.entorhinal_2;Left-Hippocampus;68;81;ctx-lh-entorhinal;Left-Hippocampus;245;0.129032
548;553;lh.parsopercularis_6;lh.parsopercularis_4;47;47;ctx-lh-parsopercularis;ctx-lh-parsopercularis;321;0.316205
548;555;lh.parsopercularis_6;lh.parsopercularis_3;47;47;ctx-lh-parsopercularis;ctx-lh-parsopercularis;271;0.264706
548;549;lh.parsopercularis_6;lh.parsopercularis_7;47;47;ctx-lh-parsopercularis;ctx-lh-parsopercularis;221;0.162602
495;504;rh.insula_1;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;411;0.455696
966;1013;lh.superiortemporal_18;Left-Hippocampus;73;81;ctx-lh-superiortemporal;Left-Hippocampus;366;0.423310
966;994;lh.superiortemporal_18;lh.insula_12;73;75;ctx-lh-superiortemporal;ctx-lh-insula;254;0.158730
966;976;lh.superiortemporal_18;lh.superiortemporal_8;73;73;ctx-lh-superiortemporal;ctx-lh-superiortemporal;213;0.101010
992;1010;lh.insula_2;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;354;0.200506
662;1010;lh.precentral_25;Left-Putamen;51;78;ctx-lh-precentral;Left-Putamen;325;0.196292
662;669;lh.precentral_25;lh.precentral_15;51;51;ctx-lh-precentral;ctx-lh-precentral;240;0.219156
662;1008;lh.precentral_25;Left-Thalamus-Proper;51;76;ctx-lh-precentral;Left-Thalamus-Proper;209;0.083643
662;1009;lh.precentral_25;Left-Caudate;51;77;ctx-lh-precentral;Left-Caudate;291;0.163599
706;1008;lh.posteriorcingulate_1;Left-Thalamus-Proper;55;76;ctx-lh-posteriorcingulate;Left-Thalamus-Proper;259;0.173370
706;1009;lh.posteriorcingulate_1;Left-Caudate;55;77;ctx-lh-posteriorcingulate;Left-Caudate;350;0.409000
218;504;rh.postcentral_30;Right-Putamen;16;37;ctx-rh-postcentral;Right-Putamen;240;0.091650
14;504;rh.lateralorbitofrontal_3;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;386;0.402015
14;35;rh.lateralorbitofrontal_3;rh.parstriangularis_8;1;5;ctx-rh-lateralorbitofrontal;ctx-rh-parstriangularis;210;0.091966
14;73;rh.lateralorbitofrontal_3;rh.rostralmiddlefrontal_3;1;7;ctx-rh-lateralorbitofrontal;ctx-rh-rostralmiddlefrontal;209;0.156250
14;503;rh.lateralorbitofrontal_3;Right-Caudate;1;36;ctx-rh-lateralorbitofrontal;Right-Caudate;210;0.104139
145;504;rh.precentral_19;Right-Putamen;10;37;ctx-rh-precentral;Right-Putamen;395;0.636793
145;487;rh.precentral_19;rh.insula_13;10;34;ctx-rh-precentral;ctx-rh-insula;311;0.180000
145;159;rh.precentral_19;rh.precentral_7;10;10;ctx-rh-precentral;ctx-rh-precentral;340;0.319344
145;488;rh.precentral_19;rh.insula_6;10;34;ctx-rh-precentral;ctx-rh-insula;299;0.149502
145;158;rh.precentral_19;rh.precentral_27;10;10;ctx-rh-precentral;ctx-rh-precentral;263;0.182186
49;504;rh.parsopercularis_7;Right-Putamen;6;37;ctx-rh-parsopercularis;Right-Putamen;238;0.191185
124;127;rh.caudalmiddlefrontal_3;rh.caudalmiddlefrontal_11;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;314;0.402048
124;504;rh.caudalmiddlefrontal_3;Right-Putamen;9;37;ctx-rh-caudalmiddlefrontal;Right-Putamen;261;0.137212
124;126;rh.caudalmiddlefrontal_3;rh.caudalmiddlefrontal_5;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;213;0.196506
124;503;rh.caudalmiddlefrontal_3;Right-Caudate;9;36;ctx-rh-caudalmiddlefrontal;Right-Caudate;230;0.121636
124;128;rh.caudalmiddlefrontal_3;rh.caudalmiddlefrontal_10;9;9;ctx-rh-caudalmiddlefrontal;ctx-rh-caudalmiddlefrontal;273;0.254237
993;1010;lh.insula_16;Left-Putamen;75;78;ctx-lh-insula;Left-Putamen;350;0.219512
993;1008;lh.insula_16;Left-Thalamus-Proper;75;76;ctx-lh-insula;Left-Thalamus-Proper;300;0.222224
627;628;lh.superiorfrontal_17;lh.superiorfrontal_41;49;49;ctx-lh-superiorfrontal;ctx-lh-superiorfrontal;209;0.176991
486;503;rh.insula_16;Right-Caudate;34;36;ctx-rh-insula;Right-Caudate;277;0.173745
486;504;rh.insula_16;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;407;0.366599
486;502;rh.insula_16;Right-Thalamus-Proper;34;35;ctx-rh-insula;Right-Thalamus-Proper;323;0.306513
509;514;lh.lateralorbitofrontal_9;lh.lateralorbitofrontal_2;42;42;ctx-lh-lateralorbitofrontal;ctx-lh-lateralorbitofrontal;221;0.148148
509;1010;lh.lateralorbitofrontal_9;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;278;0.161290
1015;1015;Brain-Stem;Brain-Stem;83;83;Brain-Stem;Brain-Stem;335;0.194175
976;1013;lh.superiortemporal_8;Left-Hippocampus;73;81;ctx-lh-superiortemporal;Left-Hippocampus;274;0.177274
367;390;rh.lateraloccipital_6;rh.fusiform_2;23;25;ctx-rh-lateraloccipital;ctx-rh-fusiform;219;0.153061
8;504;rh.lateralorbitofrontal_17;Right-Putamen;1;37;ctx-rh-lateralorbitofrontal;Right-Putamen;256;0.169671
98;102;rh.superiorfrontal_25;rh.superiorfrontal_5;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;322;0.361631
98;103;rh.superiorfrontal_25;rh.superiorfrontal_22;8;8;ctx-rh-superiorfrontal;ctx-rh-superiorfrontal;336;0.474934
1000;1013;lh.insula_13;Left-Hippocampus;75;81;ctx-lh-insula;Left-Hippocampus;269;0.203046
1000;1014;lh.insula_13;Left-Amygdala;75;82;ctx-lh-insula;Left-Amygdala;321;0.194175
778;826;lh.superiorparietal_10;lh.precuneus_12;59;61;ctx-lh-superiorparietal;ctx-lh-precuneus;259;0.202532
523;534;lh.lateralorbitofrontal_1;lh.medialorbitofrontal_5;42;45;ctx-lh-lateralorbitofrontal;ctx-lh-medialorbitofrontal;234;0.164612
523;1010;lh.lateralorbitofrontal_1;Left-Putamen;42;78;ctx-lh-lateralorbitofrontal;Left-Putamen;375;0.374003
523;545;lh.lateralorbitofrontal_1;lh.parstriangularis_6;42;46;ctx-lh-lateralorbitofrontal;ctx-lh-parstriangularis;291;0.120000
523;1009;lh.lateralorbitofrontal_1;Left-Caudate;42;77;ctx-lh-lateralorbitofrontal;Left-Caudate;260;0.140259
193;504;rh.posteriorcingulate_2;Right-Putamen;14;37;ctx-rh-posteriorcingulate;Right-Putamen;232;0.104235
193;503;rh.posteriorcingulate_2;Right-Caudate;14;36;ctx-rh-posteriorcingulate;Right-Caudate;281;0.145985
460;490;rh.superiortemporal_14;rh.insula_5;32;34;ctx-rh-superiortemporal;ctx-rh-insula;265;0.153846
460;507;rh.superiortemporal_14;Right-Hippocampus;32;40;ctx-rh-superiortemporal;Right-Hippocampus;362;0.313893
723;1008;lh.postcentral_21;Left-Thalamus-Proper;57;76;ctx-lh-postcentral;Left-Thalamus-Proper;269;0.162602
723;1010;lh.postcentral_21;Left-Putamen;57;78;ctx-lh-postcentral;Left-Putamen;337;0.294358
723;757;lh.postcentral_21;lh.supramarginal_16;57;58;ctx-lh-postcentral;ctx-lh-supramarginal;223;0.188877
180;504;rh.rostralanteriorcingulate_2;Right-Putamen;12;37;ctx-rh-rostralanteriorcingulate;Right-Putamen;303;0.207101
180;503;rh.rostralanteriorcingulate_2;Right-Caudate;12;36;ctx-rh-rostralanteriorcingulate;Right-Caudate;414;1.176927
180;506;rh.rostralanteriorcingulate_2;Right-Accumbens-area;12;39;ctx-rh-rostralanteriorcingulate;Right-Accumbens-area;209;0.185950
637;1010;lh.caudalmiddlefrontal_4;Left-Putamen;50;78;ctx-lh-caudalmiddlefrontal;Left-Putamen;339;0.239521
637;657;lh.caudalmiddlefrontal_4;lh.precentral_4;50;51;ctx-lh-caudalmiddlefrontal;ctx-lh-precentral;211;0.153584
637;641;lh.caudalmiddlefrontal_4;lh.caudalmiddlefrontal_10;50;50;ctx-lh-caudalmiddlefrontal;ctx-lh-caudalmiddlefrontal;294;0.197756
637;1009;lh.caudalmiddlefrontal_4;Left-Caudate;50;77;ctx-lh-caudalmiddlefrontal;Left-Caudate;346;0.242020
410;507;rh.parahippocampal_5;Right-Hippocampus;26;40;ctx-rh-parahippocampal;Right-Hippocampus;213;0.132450
999;1013;lh.insula_9;Left-Hippocampus;75;81;ctx-lh-insula;Left-Hippocampus;290;0.193241
999;1014;lh.insula_9;Left-Amygdala;75;82;ctx-lh-insula;Left-Amygdala;228;0.140845
690;1010;lh.rostralanteriorcingulate_3;Left-Putamen;53;78;ctx-lh-rostralanteriorcingulate;Left-Putamen;364;0.324416
690;1009;lh.rostralanteriorcingulate_3;Left-Caudate;53;77;ctx-lh-rostralanteriorcingulate;Left-Caudate;336;0.216717
488;494;rh.insula_6;rh.insula_10;34;34;ctx-rh-insula;ctx-rh-insula;217;0.100000
488;504;rh.insula_6;Right-Putamen;34;37;ctx-rh-insula;Right-Putamen;377;0.264706
61;70;rh.rostralmiddlefrontal_7;rh.rostralmiddlefrontal_2;7;7;ctx-rh-rostralmiddlefrontal;ctx-rh-rostralmiddlefrontal;294;0.259846
1012;1013;Left-Accumbens-area;Left-Hippocampus;80;81;Left-Accumbens-area;Left-Hippocampus;313;0.238095
1012;1015;Left-Accumbens-area;Brain-Stem;80;83;Left-Accumbens-area;Brain-Stem;289;0.160462
430;433;rh.inferiortemporal_15;rh.middletemporal_12;29;30;ctx-rh-inferiortemporal;ctx-rh-middletemporal;223;0.178571
